zip_code,week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp,objectid
19114,5/23/2021 12:00:00 AM,23,378,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,85
19145,7/11/2021 12:00:00 AM,20,260,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,86
19139,6/12/2022 12:00:00 AM,27,30,56,,2023/11/16 13:10:00+00,87
19142,4/18/2021 12:00:00 AM,64,381,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,88
19133,2/21/2021 12:00:00 AM,20,83,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,89
19137,7/4/2021 12:00:00 AM,,28,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,90
19127,5/16/2021 12:00:00 AM,9,164,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,91
19121,4/25/2021 12:00:00 AM,75,960,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,92
19114,3/6/2022 12:00:00 AM,21,39,49,,2023/11/16 13:10:00+00,93
19103,4/17/2022 12:00:00 AM,24,38,69,,2023/11/16 13:10:00+00,94
19149,6/6/2021 12:00:00 AM,114,1174,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,95
19133,11/28/2021 12:00:00 AM,89,137,299,,2023/11/16 13:10:00+00,96
19130,8/22/2021 12:00:00 AM,32,80,65,,2023/11/16 13:10:00+00,97
19144,7/18/2021 12:00:00 AM,22,192,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,98
19148,6/26/2022 12:00:00 AM,34,22,62,,2023/11/16 13:10:00+00,99
19144,5/30/2021 12:00:00 AM,32,550,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,100
19106,8/7/2022 12:00:00 AM,6,7,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,101
19103,12/5/2021 12:00:00 AM,361,144,753,,2023/11/16 13:10:00+00,102
19122,7/10/2022 12:00:00 AM,19,8,15,,2023/11/16 13:10:00+00,103
19132,1/10/2021 12:00:00 AM,,21,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,104
19142,5/8/2022 12:00:00 AM,31,16,51,,2023/11/16 13:10:00+00,105
19124,1/2/2022 12:00:00 AM,284,426,801,,2023/11/16 13:10:00+00,106
19102,8/1/2021 12:00:00 AM,,6,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,107
19133,2/6/2022 12:00:00 AM,59,196,111,,2023/11/16 13:10:00+00,108
19130,9/26/2021 12:00:00 AM,49,87,278,,2023/11/16 13:10:00+00,109
19133,2/7/2021 12:00:00 AM,19,54,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,110
19106,1/17/2021 12:00:00 AM,,129,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,111
19135,2/14/2021 12:00:00 AM,12,110,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,112
19121,12/13/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,113
19154,3/27/2022 12:00:00 AM,19,24,49,,2023/11/16 13:10:00+00,114
19146,5/15/2022 12:00:00 AM,45,54,59,,2023/11/16 13:10:00+00,115
19122,6/6/2021 12:00:00 AM,21,233,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,116
19120,6/5/2022 12:00:00 AM,30,40,51,,2023/11/16 13:10:00+00,117
19125,1/24/2021 12:00:00 AM,6,174,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,118
19132,9/5/2021 12:00:00 AM,38,245,25,,2023/11/16 13:10:00+00,119
19132,1/16/2022 12:00:00 AM,105,166,271,,2023/11/16 13:10:00+00,120
19118,3/28/2021 12:00:00 AM,21,516,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,121
19112,3/13/2022 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,122
19135,7/25/2021 12:00:00 AM,38,180,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,123
19140,4/4/2021 12:00:00 AM,112,2428,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,124
19132,8/15/2021 12:00:00 AM,42,216,15,,2023/11/16 13:10:00+00,125
19141,10/17/2021 12:00:00 AM,37,188,174,,2023/11/16 13:10:00+00,126
19140,3/7/2021 12:00:00 AM,93,540,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,127
19102,12/12/2021 12:00:00 AM,107,17,190,,2023/11/16 13:10:00+00,128
19119,4/24/2022 12:00:00 AM,19,30,43,,2023/11/16 13:10:00+00,129
19118,7/25/2021 12:00:00 AM,,17,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,130
19132,7/24/2022 12:00:00 AM,37,33,47,,2023/11/16 13:10:00+00,131
19135,3/28/2021 12:00:00 AM,61,1295,7,,2023/11/16 13:10:00+00,132
19123,8/29/2021 12:00:00 AM,22,81,20,,2023/11/16 13:10:00+00,133
19153,5/22/2022 12:00:00 AM,,7,20,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,134
19140,9/19/2021 12:00:00 AM,48,355,78,,2023/11/16 13:10:00+00,135
19134,4/24/2022 12:00:00 AM,39,63,69,,2023/11/16 13:10:00+00,136
19131,4/24/2022 12:00:00 AM,28,34,62,,2023/11/16 13:10:00+00,137
19128,2/27/2022 12:00:00 AM,16,33,58,,2023/11/16 13:10:00+00,138
19137,7/24/2022 12:00:00 AM,,,11,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,139
19112,1/30/2022 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,140
19145,9/19/2021 12:00:00 AM,38,215,65,,2023/11/16 13:10:00+00,141
19130,3/28/2021 12:00:00 AM,121,1750,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,142
19126,8/29/2021 12:00:00 AM,13,121,18,,2023/11/16 13:10:00+00,143
19152,1/23/2022 12:00:00 AM,92,168,256,,2023/11/16 13:10:00+00,144
19135,12/20/2020 12:00:00 AM,,,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,145
19133,3/20/2022 12:00:00 AM,28,25,51,,2023/11/16 13:10:00+00,146
19148,5/16/2021 12:00:00 AM,102,1439,9,,2023/11/16 13:10:00+00,147
19152,5/1/2022 12:00:00 AM,16,29,45,,2023/11/16 13:10:00+00,148
19141,5/2/2021 12:00:00 AM,38,576,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,149
19107,4/11/2021 12:00:00 AM,87,528,6,,2023/11/16 13:10:00+00,150
19135,10/24/2021 12:00:00 AM,45,151,295,,2023/11/16 13:10:00+00,151
19112,6/20/2021 12:00:00 AM,,109,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,152
19107,4/3/2022 12:00:00 AM,20,28,37,,2023/11/16 13:10:00+00,153
19116,1/3/2021 12:00:00 AM,11,69,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,154
19137,11/21/2021 12:00:00 AM,15,19,80,,2023/11/16 13:10:00+00,155
19139,5/1/2022 12:00:00 AM,33,43,59,,2023/11/16 13:10:00+00,156
19146,4/18/2021 12:00:00 AM,104,1113,6,,2023/11/16 13:10:00+00,157
19123,5/16/2021 12:00:00 AM,41,394,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,158
19133,7/4/2021 12:00:00 AM,21,221,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,159
19137,2/21/2021 12:00:00 AM,,35,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,160
19125,4/25/2021 12:00:00 AM,120,663,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,161
19154,2/28/2021 12:00:00 AM,46,391,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,162
19141,7/11/2021 12:00:00 AM,16,207,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,163
19106,6/27/2021 12:00:00 AM,,29,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,164
19111,3/21/2021 12:00:00 AM,123,2047,7,,2023/11/16 13:10:00+00,165
19122,1/31/2021 12:00:00 AM,,121,,"Null Value Suppressed, Count <6",2023/11/16 13:10:00+00,166
19115,5/1/2022 12:00:00 AM,11,35,51,,2023/11/16 13:10:00+00,167
19111,6/12/2022 12:00:00 AM,21,37,75,,2023/11/16 13:10:00+00,168
19131,7/17/2022 12:00:00 AM,50,25,54,,2023/11/16 13:10:00+00,169
